BusStopCode,Direction,Distance,Operator,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,ServiceNo,StopSequence,WD_FirstBus,WD_LastBus,,Latitude,Longitude
0,22009,1,0,SBST,600,2400,630,20,179,1,600,2400,1.339612598,103.7054064
1,22501,1,0.8,SBST,604,5,634,24,179,2,604,5,1.337874565,103.7029702
2,22511,1,1.1,SBST,606,6,636,26,179,3,606,6,1.337708695,103.7003369
3,22521,1,1.4,SBST,607,8,637,27,179,4,607,8,1.337738776,103.6977154
4,22451,1,1.7,SBST,608,9,638,28,179,5,608,9,1.338517369,103.6955765
5,27301,1,2,SBST,610,10,639,29,179,6,610,10,1.340644213,103.6943445
6,27321,1,2.5,SBST,612,12,641,30,179,7,612,11,1.344242843,103.6919044
7,27281,1,3.3,SBST,616,15,644,32,179,8,616,14,1.346113335,103.6877193
8,27291,1,3.6,SBST,617,16,645,33,179,9,617,15,1.348089057,103.686623
9,27311,1,3.8,SBST,618,17,646,34,179,10,618,15,1.349551033,103.6855951
10,27061,1,4.1,SBST,619,18,647,35,179,11,619,16,1.350165649,103.683944
11,27211,1,4.5,SBST,621,19,649,36,179,12,620,17,1.34813479,103.680504
12,27221,1,4.9,SBST,622,20,650,37,179,13,621,18,1.346477694,103.67852
13,27231,1,5.4,SBST,624,21,651,38,179,14,623,20,1.342145571,103.6792169
14,27241,1,5.9,SBST,625,22,652,39,179,15,625,21,1.340897815,103.6805067
15,27251,1,6.2,SBST,626,23,653,40,179,16,626,22,1.342373838,103.6836996
16,27261,1,6.6,SBST,627,24,654,41,179,17,627,23,1.343778877,103.6868737
17,27329,1,7.6,SBST,516,27,515,42,179,18,516,25,1.344236065,103.6919069
18,27309,1,8,SBST,518,29,518,44,179,19,519,27,1.341273791,103.6942026
19,22459,1,8.3,SBST,520,30,520,46,179,20,521,28,1.338776507,103.6958265
20,22529,1,8.6,SBST,521,32,522,48,179,21,524,30,1.337878983,103.6972805
21,22519,1,8.9,SBST,523,33,524,50,179,22,526,31,1.337832643,103.6999412
22,22509,1,9.2,SBST,524,35,526,52,179,23,528,33,1.338120922,103.7032322
23,22009,1,9.7,SBST,526,37,527,55,179,24,528,35,1.339388005,103.7054446
